FEEDERID,เปลือย,หุ้ม,Ratio
ARA01,3263.341411,27760.69269,0.117552593
ARA02,104306.258,69748.31981,1.495466247
ARA03,0,8741.887344,0
ARA04,14137.40021,4797.234162,2.946989814
ARA05,112096.2131,63647.53479,1.761202747
ARA06,210123.9373,83878.52581,2.50509812
ARA07,14007.19449,24913.59502,0.562230962
ARA08,15477.7847,28313.78588,0.546651895
ARA09,27654.10101,29524.91252,0.936636171
ARA10,172.3909972,17771.23279,0.009700565
ARB01,0,4834.006592,0
ARB02,525.4219337,2688.137556,0.195459467
ARB03,0,82.53261921,0
ARB04,0,4626.747419,0
ARB05,15956.95433,30447.84722,0.524074961
ARB06,63275.38665,11630.78163,5.440338291
ARB07,0,103.9335771,0
ARB08,87.33587364,15709.03422,0.005559595
ARB09,0,2160.62726,0
ARB10,0,113.2354178,0
ARU01,0,8,0
ARU02,0,8.000297312,0
ARU03,0,8.000006333,0
ARU04,0,8.002660577,0
ARU05,0,8.000012,0
ATA01,20172.34043,25934.44726,0.777820334
ATA02,27063.1371,46807.62493,0.57817796
ATA03,6160.810594,16185.31978,0.380641883
ATA04,3495.255894,25615.80614,0.136449186
ATA05,22501.34251,56696.29628,0.396874999
ATA06,6504.157134,11967.25794,0.543496026
ATA07,17528.38944,36542.02949,0.479677502
ATA08,12088.45379,66147.65467,0.182749545
ATA09,26599.96802,78332.24847,0.339578763
ATB01,21465.12371,54112.92021,0.396672803
ATB02,50164.88857,48084.11227,1.043273676
ATB03,113227.2729,19443.67249,5.82334808
ATB04,64012.97712,26839.39711,2.385037818
ATB05,143917.2035,69058.44418,2.083991396
ATB06,48821.37077,60367.27476,0.808739022
ATB07,65234.60384,46483.73124,1.403385703
ATB08,5972.820045,17766.36379,0.336186972
ATB09,0,32.37952418,0
ATB10,0,31.67795001,0
AYA01,951.4071227,14385.88561,0.066134762
AYA02,14169.42559,14697.77003,0.964052748
AYA03,1797.102181,13394.44301,0.134167743
AYA04,29186.03614,15406.87923,1.894350939
AYA05,13953.5072,5304.412859,2.630546975
AYA06,16679.066,14564.50356,1.14518603
AYA07,575.7981459,10634.77376,0.054142961
AYA08,14159.22105,22364.62835,0.633107818
AYA09,5737.108164,6356.060351,0.902620153
AYA10,9014.436224,16902.90326,0.533306976
AYB01,2691.896261,13240.11542,0.203313655
AYB02,4128.823704,25530.84731,0.161719024
AYB03,10059.68101,12531.32167,0.802762971
AYB04,5357.128069,17041.17349,0.314363801
AYB05,7828.626041,5923.817213,1.321550912
AYB06,7990.112703,5558.22128,1.437530516
AYB07,13195.77525,23859.01638,0.553072895
AYB08,1483.472808,14532.21145,0.102081697
BAK05,93762.00275,40241.04835,2.330008948
BAM04,51714.76695,49261.22489,1.049806761
BAM05,16288.66721,20349.40418,0.800449343
BAP02,156115.9373,76612.55034,2.037733199
BAP07,17147.18523,27163.59425,0.631256124
BDA01,248.5848539,4278.660691,0.058098754
BDA02,104.4480964,1804.046101,0.057896578
BDA03,499.5176415,3934.37719,0.126962316
BDA04,1219.07914,2024.942398,0.602031515
BDA05,0,138.7204177,0
BDA06,21.13893691,694.3676077,0.030443438
BDA08,109.4335541,2643.47536,0.041397607
BDA09,0,194.1863264,0
BDA10,0,287.1791665,0
BEA03,11987.43362,11191.49858,1.071119613
BEA04,8487.728702,17198.86013,0.493505304
BIA01,12396.77953,18960.19349,0.65383191
BIA02,9105.261045,40477.4498,0.224946509
BIA03,1815.052532,38424.1752,0.047237254
BIA04,12963.79971,13108.19079,0.988984667
BIA05,1593.485624,23176.64172,0.068753948
BIA06,350.9625335,5434.105736,0.06458515
BIA07,42194.50061,39111.02407,1.078839064
BIA08,1149.044007,5103.696397,0.225139569
BIA09,1057.458866,15662.32287,0.067516094
BIA10,19786.61353,77764.1869,0.254443778
BIC01,7.572014266,12263.86346,0.000617425
BIC02,79.36521592,7990.826581,0.009932041
BIC03,1427.595543,13321.58249,0.107164111
BIC04,0,82.40552128,0
BIC05,7073.518917,37155.16698,0.190377799
BIC06,132.2276403,18735.39065,0.00705764
BIC07,461.0938971,10589.70959,0.043541694
BIC08,147.7684452,18775.32586,0.007870353
BIC09,0,6507.699334,0
BIC10,1977.514408,13817.01801,0.143121649
BKA01,0,1720.827309,0
BKA02,631.7070078,8607.428243,0.073390912
BKA03,0,2296.03628,0
BKA04,468.6303186,11225.60879,0.041746539
BKA06,270.8474707,4545.383661,0.059587373
BKA07,2500.100281,9302.336171,0.268760474
BKA08,1463.29189,6205.660347,0.235799546
BKA09,2840.355577,8220.010478,0.345541601
BKA11,5742.91676,50613.88442,0.113465244
BKA12,4421.17244,35687.4809,0.123885809
BKA13,2330.263983,11666.90603,0.199732815
BKA14,909.8031893,7957.899328,0.114327054
BKS01,173.4900497,2757.055221,0.062925852
BKS02,20.52022738,3056.218107,0.006714255
BKS03,1263.14556,3969.635673,0.318201887
BKS04,204.8021333,1955.327984,0.104740553
BKS05,172.217292,10332.00099,0.016668339
BKS06,271.7504291,3768.985254,0.072101749
BKS07,238.3490375,2045.654752,0.116514792
BKS08,940.9590663,2192.671879,0.42913811
BKS10,0,784.1040715,0
BKU01,3639.039223,5405.754208,0.673178817
BKU02,6660.472848,15188.10693,0.438532128
BKU03,0,11140.50594,0
BKU04,2370.967371,4864.538243,0.487398239
BKU05,16.13870925,7406.691623,0.002178936
BLS01,20816.46774,37853.34253,0.549924164
BLS02,2500.806172,5422.100614,0.461224597
BLS03,0,74.6124214,0
BLS04,10036.45949,11608.32181,0.864591769
BLS05,7136.960291,16848.08427,0.423606635
BLS06,4735.835265,5997.012903,0.789699029
BLS07,11484.99216,13377.17755,0.858551224
BLS08,2717.369234,15860.36142,0.171330852
BLS09,1081.681846,18304.05184,0.059095213
BLS10,1136.300037,12935.66904,0.087842386
BMA01,2488.748924,5114.328911,0.486622774
BMA02,3240.261664,34621.06547,0.093592199
BMA03,1301.687094,17900.09574,0.07271956
BMA04,3367.317613,18546.46467,0.181561159
BMA05,0,165.9655699,0
BMA06,0,717.5771913,0
BMA07,895.7528201,21935.71909,0.040835352
BMA08,0,194.2337899,0
BMA09,568.0531158,4565.097287,0.124433956
BMA10,196.0302778,3339.487732,0.058700703
BMB01,5512.838788,3803.439473,1.44943513
BMB02,0,80.03958057,0
BMB03,1676.265126,1265.791633,1.32428204
BMB04,1257.401431,9868.387988,0.127417105
BMB05,1674.22309,3136.026427,0.53386766
BMB06,3420.997484,4360.899634,0.784470584
BMB07,0,1071.259025,0
BMB08,187.9235235,15144.94248,0.012408335
BMB09,0,81.31233482,0
BMB10,2010.536097,12318.77293,0.163209121
BNL01,2660.301537,2354.780357,1.129745086
BNL02,1122.818801,2489.11222,0.451092077
BNL03,126.6365163,3974.562073,0.031861753
BNL04,1352.456534,919.3940031,1.471030406
BNL05,2123.617746,754.2184615,2.81565336
BNL06,1457.388519,681.5506108,2.138342327
BNL07,1.772400914,2395.138255,0.000739999
BNL08,0,2129.642976,0
BNL09,690.3440612,3150.467115,0.219124351
BNL10,520.8075741,2801.518574,0.185901882
BNM01,15.47540503,2175.773952,0.007112598
BNM02,0,3227.015461,0
BNM03,0,1.454909619,0
BNM04,0,1750.07645,0
BNM05,49.28268636,2508.785064,0.019644045
BNM06,0,2466.995361,0
BNM07,13.79384664,1743.83068,0.007910084
BNM08,9.034512358,2273.421256,0.003973972
BPH01,380.7819573,5288.505688,0.072001805
BPH02,53.04443282,2531.179374,0.02095641
BPH03,258.5398747,2638.029234,0.098004932
BPH04,0,1133.077116,0
BPH05,432.6140023,6038.480905,0.071642853
BPH06,3.555141621,56.1183667,0.063350768
BPH07,0,1953.839,0
BPH08,9462.158742,25613.68303,0.369418124
BPH09,4862.871706,23386.01319,0.207939321
BPH10,0,3151.438144,0
BPI01,95.87571595,322.8005268,0.297012266
BPI02,64.25247393,8728.996294,0.007360809
BPI03,2229.163763,10946.23239,0.203646669
BPI04,11960.31092,32522.9639,0.367749722
BPI05,39241.68182,54567.48839,0.719140334
BPI06,0,4642.797704,0
BPI07,14.80700695,4273.53927,0.003464811
BPI08,15357.59799,55021.5708,0.279119585
BPI09,18265.09511,16013.7072,1.1405913
BPI10,9663.607648,17882.84937,0.54038411
BPN01,1970.477653,2795.560724,0.704859543
BPN02,2860.191001,24957.97525,0.114600282
BPN03,0,95.9923221,0
BPN04,521.2797522,8824.605622,0.059071167
BPN05,25.65567855,376.9448487,0.068062155
BPN06,257.3033667,8295.3238,0.031017881
BPN07,1335.816435,4849.142136,0.275474795
BPN08,11.35321276,306.2150002,0.037075952
BPN09,2570.158715,13331.05874,0.192794793
BPN10,26.89965921,1174.803398,0.022897158
BSA01,216.1551349,19022.0196,0.011363417
BSA02,56729.90345,32480.58403,1.746578922
BSA03,12152.12691,28303.79573,0.429346192
BSA04,16120.02464,7344.780035,2.194759347
BSA05,11289.45946,8906.90874,1.267494682
BSA06,4087.402653,12094.29782,0.337961138
BSA07,31017.69241,13878.63347,2.2349241
BSA08,11739.81049,21796.17374,0.538617953
BSA09,361.8010077,6718.230806,0.053853614
BSA10,47.10490553,2742.175949,0.01717793
BSG01,0,158.2074517,0
BSG02,49073.41289,26283.7919,1.867059862
BSG03,30136.2928,16010.12462,1.882327184
BSG04,39274.24292,14536.49927,2.701767613
BSG05,75892.81204,16074.00844,4.721461502
BSG06,0,197.5722765,0
BSG07,1095.831418,3502.974004,0.312828875
BSG08,8307.946868,25485.90704,0.325981997
BSG09,2422.63742,9229.072376,0.262500642
BSG10,31351.34038,15113.60086,2.074379274
CDB02,238841.1134,28827.67255,8.285133424
CUS01,1335.29993,9998.513105,0.13354985
DBA08,17367.34451,15056.18058,1.153502671
DOP01,25564.39115,35534.74845,0.719419505
DOP02,493.5275316,12525.84377,0.039400741
DOP03,6403.059264,27211.39007,0.235308055
DOP04,5150.875652,24201.07059,0.212836686
DOP05,20133.34879,39707.87489,0.507036673
DOP06,762.9028514,12785.37765,0.05966995
DOP07,110.5759433,2019.80559,0.054745835
DOP08,2967.525811,18310.99264,0.162062531
DOP09,9083.63447,31816.70942,0.285498866
DOP10,23.28991783,17433.31966,0.001335943
GUN01,0,5168.503203,0
GUN02,0,1721.812508,0
GUN03,2221.575972,25474.38686,0.087208221
GUN04,0,3041.403345,0
GUN05,82.95143254,3354.654842,0.024727263
KBG01,41152.0776,47451.08738,0.867252572
KBI01,101.5786875,3657.812124,0.02777034
KBI02,0,3343.012629,0
KBI03,56.81938773,2093.834344,0.027136525
KBI04,0,2708.718266,0
KBI05,18.92255433,6587.705054,0.002872405
KBI06,0,3420.667328,0
KBI07,41.26613098,3632.58663,0.011359985
KBI08,0,5348.052684,0
KBI09,0,2017.945433,0
KBI10,31.19305547,5928.574609,0.005261476
KBJ01,13671.62659,24755.63401,0.552263238
KBJ02,68036.29965,66583.61311,1.021817478
KBJ03,195802.2933,96359.99496,2.031987376
KBJ04,49313.94431,40435.37867,1.219574193
KBJ05,11358.18505,38755.98101,0.293069218
KBJ06,60395.87691,75947.90328,0.795227706
KBJ07,20850.01125,52143.52581,0.399858102
KBJ08,3072.861376,26043.48446,0.117989641
KBJ09,104.9334778,6680.909839,0.015706465
KBJ10,16197.3564,50259.63185,0.322273678
KBU01,23.23703985,4405.785549,0.00527421
KBU02,0,6136.878496,0
KBU03,20.38445918,3532.764011,0.005770116
KBU04,0,3291.615706,0
KBU05,0,3299.770742,0
KBV01,0,6722.715395,0
KBV02,0,5808.01459,0
KBV03,16954.83375,28216.17325,0.600890617
KBV04,18288.16496,48325.15481,0.378439863
KBV05,0,4753.791622,0
KHL01,4552.982181,40410.50988,0.112668269
KHL02,6635.964013,56255.4607,0.117961242
KHL03,14.63688756,1861.382998,0.007863448
KHL04,2791.103111,28913.32256,0.096533462
KHL05,998.2643419,34457.92691,0.028970528
KHL06,1295.458547,22661.17465,0.057166434
KHL07,0,6837.519364,0
KHL08,861.5450827,27768.54132,0.031025939
KHL10,5450.116426,50587.91191,0.107735548
KHU01,0,28.19004229,0
KHU02,0,18.56863883,0
KHU03,0,16.16398462,0
KHU04,0,13.29031953,0
KIU01,212.9104093,25731.38495,0.008274347
KIU02,432.5661406,60733.82858,0.007122326
KIU03,8270.804877,51948.32365,0.159212161
KIU04,2395.289894,25672.66983,0.093301161
KIU05,1114.60813,26859.17321,0.041498229
KLJ01,14227.57056,33163.83846,0.429008559
KLJ02,38796.73981,62415.65552,0.621586675
KLJ03,3952.863364,18337.06249,0.215566881
KLJ04,1254.870889,7808.294779,0.160709979
KLO01,12361.38749,44219.77301,0.279544345
KLO02,7550.952664,28070.49726,0.268999605
KLO03,223.0770725,47238.0456,0.004722403
KLO04,2506.575545,14332.08256,0.174892625
KLO05,11003.5121,89403.254,0.123077311
KLO06,14276.39375,94177.37556,0.151590482
KLO07,7692.897865,29633.02316,0.25960557
KLO08,6205.975488,36336.3489,0.17079249
KLO09,0,16025.91758,0
KLO10,5046.496025,65687.90436,0.076825347
KQU01,0,15.35291184,0
KQU02,3169.423955,27526.91326,0.115139098
KQU03,4776.326757,41173.67611,0.11600438
KQU04,3906.599647,14026.51372,0.278515369
KQU05,3321.527428,27001.01592,0.123014906
KYE01,8563.573953,9144.444957,0.936478266
KYE02,51.25300303,2410.806804,0.021259689
KYE03,0,119.8958136,0
KYE04,3770.857815,156.9849312,24.02050813
KYE05,3246.314026,148.312997,21.88826396
KYE06,2210.116781,4023.391917,0.549316802
KYE07,0,2290.638831,0
KYE08,53.20253703,10575.15299,0.0050309
KYE09,7869.70171,1209.381305,6.507212967
KYE10,369.6642645,78.5339076,4.707065722
LAK01,8632.930372,31911.57552,0.270526611
LAK02,878.00295,17935.82499,0.048952471
LAK03,0,184.5438596,0
LAK04,2522.916382,36185.62119,0.069721516
LAK05,3651.239421,26810.906,0.136184858
LAK06,713.2022436,13833.39376,0.051556563
LAK07,544.403312,19358.14088,0.028122706
LAK08,0,118.0542098,0
LAK09,19116.0236,84093.48219,0.22731873
LAK10,5155.88088,53181.68841,0.096948424
LBA03,18.15813886,33.91393352,0.535418248
LBL01,187.3670821,10562.90044,0.017738223
LBL02,4053.941552,12700.25998,0.319201462
LBL03,75.81054625,13693.67795,0.005536171
LBL04,105154.9717,62729.14033,1.676333697
LBL05,82589.0955,47327.76677,1.745045269
LBL06,18489.61418,24370.78773,0.758679382
LBL07,295.9328187,11786.30153,0.0251082
LBL08,864.5046475,7403.322491,0.116772523
LBL09,8781.693264,15259.21303,0.575501059
LBL10,46882.50307,45478.82764,1.030864371
LLK01,2768.53647,21260.32927,0.130220771
LLK02,874.4947153,31378.93093,0.02786885
LLK03,4969.000374,50271.48647,0.098843315
LLK04,61116.42537,98826.54615,0.61842114
LLK05,8369.131452,96782.89096,0.086473253
LLK06,2993.859175,41814.34876,0.071598847
LLK07,0,3370.837002,0
LLK08,31028.13522,65257.67665,0.475471037
LLK09,2535.958027,21996.60666,0.115288602
LLK10,264.943885,11688.79933,0.022666476
MLK01,2051.93692,4956.160227,0.41401747
MLK02,7653.267566,12102.73988,0.632358263
MLK03,30859.85515,37239.17117,0.828693394
MLK04,8846.472934,2549.326952,3.470120978
MLK05,844.85366,7904.895787,0.106877267
MLK06,9356.397497,16156.81237,0.579099224
MLK07,114956.7704,65528.68767,1.754296851
MLK08,0,137.3803968,0
MLK09,5.649446394,74.42359945,0.075909341
MLK10,17424.71241,11299.76188,1.542042443
MUA01,9.708442539,3589.862932,0.002704405
MUA02,393.070123,8349.533769,0.047076895
MUA03,5128.64417,31293.94545,0.163886148
MUA04,0,87.3194662,0
NKL01,5619.118305,13195.51425,0.425835492
NKL02,4612.022863,14863.4964,0.310291922
NKL03,12553.36093,6902.292302,1.818723458
NKL04,20641.98885,12167.54388,1.696479507
NKL05,63494.76197,42116.20924,1.507608664
NKL06,5951.401738,22458.34811,0.264997306
NKL07,4884.028588,9609.278895,0.508261717
NKL08,0,102.799937,0
NKL09,18757.95384,13605.1092,1.37874335
NKL10,28733.71376,16448.17187,1.74692446
NOH01,4229.678091,5823.72305,0.726284209
NOH02,2333.580072,2017.759807,1.156520247
NOH03,10041.9056,12219.59661,0.821786997
NOH04,11064.7513,11553.06472,0.957732997
NOH05,6474.348732,11733.89287,0.551764773
NOH06,0,1917.11718,0
NOH07,0,9217.134885,0
NOH08,1244.824403,3631.861634,0.342751054
NOH09,113738.4254,71249.4052,1.596342104
NOH10,102662.2937,47867.61869,2.144712782
NPL01,343.5934479,6395.045319,0.053728071
NPL02,48.52345709,2158.54743,0.022479681
NPL03,15.2800434,7364.619399,0.002074791
NPL04,0,1032.273037,0
NPL05,20.61409905,5195.403486,0.003967757
NPL06,61.83486117,5557.753783,0.011125873
NPL07,159.1567444,3090.495216,0.051498784
NPL08,26.3925976,2134.176075,0.012366645
NPL09,183.7423563,8088.959794,0.022715202
NPL10,79.91306147,7005.117906,0.011407811
NSI01,74823.95761,60961.44346,1.227398063
NSI02,76465.30036,61602.0724,1.241278051
NSI03,24719.25635,74914.72736,0.329965245
NSI04,734.9612928,7116.707872,0.103272652
NSI05,18173.21744,16270.34028,1.116953741
